date,target_prediction,target
2013-08-02,0.0869121182878203,0.0933335071473469
2013-08-05,0.14575965710536343,0.06249822090235857
2013-08-06,0.08310071387335305,0.048042463091029
2013-08-07,0.07680926156135204,0.09431750503715608
2013-08-08,-0.024928361328759086,0.09582210608351116
2013-08-09,0.024032953418343217,0.09633144568419683
2013-08-12,0.06662037873484294,0.07213539404992941
2013-08-13,0.01860799825357695,0.02545200928221858
2013-08-14,0.05312970011348095,0.018330814720257216
2013-08-15,0.06670551748062792,-0.06294592476531291
2013-08-16,0.09641388252662608,-0.06225904214781841
2013-08-19,0.02436563906559952,-0.0786336450503039
2013-08-20,0.057852471851885134,-0.06929523096427093
2013-08-21,0.03470164534979925,-0.10232008608892407
2013-08-22,-0.004734296035984298,-0.12491569702139493
2013-08-23,-0.011582210350600475,-0.08982548405349755
2013-08-26,0.07104819217401648,-0.08695566433280066
2013-08-27,0.08915891151077071,-0.06345819893973048
2013-08-29,0.07235481457762538,-0.046068965271879425
2013-08-30,0.10562923429674287,-0.06700570522152172
2013-09-03,0.03987206161082746,-0.09655172414626934
2013-09-05,-0.02542098285399319,-0.10738255021078702
2013-09-06,0.0028382182785078314,-0.09863945568473076
2013-09-09,-0.023093144735958693,-0.08275862079819007
2013-09-10,0.03975075363389036,-0.09459459446345608
2013-09-11,0.06823890531213084,-0.07508532454689343
2013-09-12,0.16043922064034377,-0.07534246620767127
2013-09-13,0.13199451985116473,-0.05172413831715095
2013-09-16,0.011185022610415762,-0.06597222232272737
2013-09-17,0.10692248185102171,-0.08741258715713884
2013-09-18,0.024466552351467108,-0.03345724747947987
2013-09-19,0.07255363015584892,-0.0471014482939317
2013-09-20,0.05900480593518109,-0.07636363464536589
2013-09-23,0.1162849337473566,-0.07720588074365231
2013-09-24,0.09468833550357303,-0.05243445431274629
2013-09-25,0.09485561456932667,-0.038022810882445746
2013-09-26,0.23085102767945398,-0.04511277937363278
2013-09-27,0.18942761638782524,-0.041666663879425636
2013-09-30,0.1315998965501064,-0.03409090597824915
2013-10-01,0.03295375395876876,-0.033834583124521145
2013-10-02,0.18641572847226184,0.007604566029988602
2013-10-03,0.12200294253321164,0.003816797029019936
2013-10-04,0.10833547559724921,0.011278199340608586
2013-10-07,0.11744702967298837,0.007547173827190612
2013-10-08,0.10539249758373859,-0.011278191757326805
2013-10-09,0.10457075645278135,0.033582093759390474
2013-10-10,0.11027959486321959,0.03321033650575966
2013-10-11,0.12191818354281136,0.018518522076185873
2013-10-15,0.025312817633523554,-0.021818178215576634
2013-10-16,0.010638429573700536,0.007434947539037617
2013-10-17,0.1805624559600425,0.022988508570530808
2013-10-18,0.2848136019297327,0.04230769524588607
2013-10-21,0.248819360002148,0.06463878738870887
2013-10-22,0.36704595124643213,0.09842520024012669
2013-10-23,0.33311402937491685,0.09561753322760547
2013-10-24,0.21525918387580423,0.08300395559592832
2013-10-25,0.16578212580193807,0.07114624839893224
2013-10-28,0.10850839623308062,0.0787401608165541
2013-10-29,0.14444040769247524,0.08695652505348606
2013-10-30,0.20063275062172603,0.10196078698440325
2013-10-31,0.23495519503101936,0.0856031150352945
2013-11-01,0.23727382157562182,0.07169811634474765
2013-11-04,0.08122930692201069,0.09505703726690862
2013-11-05,0.07170312953776414,0.0706319724528286
2013-11-06,0.07456209549807724,0.07116105073921442
2013-11-07,0.012142320717004607,0.068441067062597
2013-11-08,-0.0009839425405077096,0.025081418488399176
2013-11-12,0.07642725462621902,0.010589412000461484
2013-11-13,0.03492661651122142,0.03253655666228639
2013-11-14,0.08986218744844976,0.0409571856082358
2013-11-15,0.04617599495292679,0.04777694822444989
2013-11-18,0.048153950941633994,0.08187318501462126
2013-11-19,0.03819128819345141,0.047776947475461684
2013-11-20,-0.04805748190552894,0.03164335631155324
2013-11-21,0.009043845573943665,0.05294884355732554
2013-11-22,-0.009714397292260868,0.07183725390283113
