date,target_prediction,target
2013-08-02,0.09114513918757439,0.0933335071473469
2013-08-05,0.1004621300380677,0.06249822090235857
2013-08-06,0.09129518130794168,0.048042463091029
2013-08-07,0.11588948150165379,0.09431750503715608
2013-08-08,0.08686305198352784,0.09582210608351116
2013-08-09,0.10048363939858973,0.09633144568419683
2013-08-12,0.11035655881278217,0.07213539404992941
2013-08-13,0.08125776168890297,0.02545200928221858
2013-08-14,0.10111095802858472,0.018330814720257216
2013-08-15,0.0762815319467336,-0.06294592476531291
2013-08-16,0.12668713950552046,-0.06225904214781841
2013-08-19,0.10362906847149134,-0.0786336450503039
2013-08-20,0.12449998571537435,-0.06929523096427093
2013-08-21,0.12369780684821308,-0.10232008608892407
2013-08-22,0.1199244917370379,-0.12491569702139493
2013-08-23,0.21408693166449666,-0.08982548405349755
2013-08-26,0.20611885748803616,-0.08695566433280066
2013-08-27,0.22670167312026024,-0.06345819893973048
2013-08-29,0.17141014942899346,-0.046068965271879425
2013-08-30,0.16308138007298112,-0.06700570522152172
2013-09-03,0.13864126661792397,-0.09655172414626934
2013-09-05,0.13727281731553376,-0.10738255021078702
2013-09-06,0.11333560897037387,-0.09863945568473076
2013-09-09,0.102169492514804,-0.08275862079819007
2013-09-10,0.15944465529173613,-0.09459459446345608
2013-09-11,0.10886456607840955,-0.07508532454689343
2013-09-12,0.19319624593481421,-0.07534246620767127
2013-09-13,0.14650015626102686,-0.05172413831715095
2013-09-16,0.14873279468156397,-0.06597222232272737
2013-09-17,0.16522036818787456,-0.08741258715713884
2013-09-18,0.13132712221704423,-0.03345724747947987
2013-09-19,0.11354238144122064,-0.0471014482939317
2013-09-20,0.10967259644530714,-0.07636363464536589
2013-09-23,0.15224544145166874,-0.07720588074365231
2013-09-24,0.08555199392139912,-0.05243445431274629
2013-09-25,0.1618023868650198,-0.038022810882445746
2013-09-26,0.20178344193845987,-0.04511277937363278
2013-09-27,0.11712709721177816,-0.041666663879425636
2013-09-30,0.08569832157809287,-0.03409090597824915
2013-10-01,0.11918723932467401,-0.033834583124521145
2013-10-02,0.14935798454098403,0.007604566029988602
2013-10-03,0.07988174352794886,0.003816797029019936
2013-10-04,0.06045954185537994,0.011278199340608586
2013-10-07,0.09009423211682588,0.007547173827190612
2013-10-08,0.050264348392374814,-0.011278191757326805
2013-10-09,0.07636137492954731,0.033582093759390474
2013-10-10,0.022030416876077652,0.03321033650575966
2013-10-11,0.057724810438230634,0.018518522076185873
2013-10-15,0.09607496717944741,-0.021818178215576634
2013-10-16,0.04437883466016501,0.007434947539037617
2013-10-17,0.06370186654385179,0.022988508570530808
2013-10-18,0.04570538271218538,0.04230769524588607
2013-10-21,0.07603292213752866,0.06463878738870887
2013-10-22,0.05317024793475866,0.09842520024012669
2013-10-23,-0.005696475738659501,0.09561753322760547
2013-10-24,0.03774553450057283,0.08300395559592832
2013-10-25,-0.0056750866351649165,0.07114624839893224
2013-10-28,0.02762957406230271,0.0787401608165541
2013-10-29,-0.02544343937188387,0.08695652505348606
2013-10-30,-0.009494155296124518,0.10196078698440325
2013-10-31,-0.025704007653985173,0.0856031150352945
2013-11-01,-0.011560562474187464,0.07169811634474765
2013-11-04,-0.0951629641931504,0.09505703726690862
2013-11-05,-0.06523301525157876,0.0706319724528286
2013-11-06,-0.0789213086682139,0.07116105073921442
2013-11-07,-0.10704871674533933,0.068441067062597
2013-11-08,-0.12503191537689418,0.025081418488399176
2013-11-12,-0.11538953182753175,0.010589412000461484
2013-11-13,-0.12060502939857543,0.03253655666228639
2013-11-14,-0.11563364084577188,0.0409571856082358
2013-11-15,-0.059869287913898006,0.04777694822444989
2013-11-18,-0.12093797320267186,0.08187318501462126
2013-11-19,-0.10980382272828138,0.047776947475461684
2013-11-20,-0.12178265280090272,0.03164335631155324
2013-11-21,-0.06342736055376008,0.05294884355732554
2013-11-22,-0.04369549811235629,0.07183725390283113
2013-11-25,-0.14450743808993138,0.08292072935642758
2013-11-26,-0.16047142329625785,0.08403220355924801
2013-11-27,-0.07057513803010806,0.0900923879215687
2013-11-29,-0.08876214461633936,0.07183725216304859
2013-12-02,-0.15621613489929587,0.05244755139471424
2013-12-03,-0.07352522411383688,0.04942727387990731
2013-12-04,-0.15137360198423266,0.024032303449044612
2013-12-05,-0.1230283830082044,0.0268672272156516
2013-12-06,-0.06061672850046307,0.01322115143055047
2013-12-09,-0.06193531258031726,-0.01061176908519501
2013-12-10,-0.06970675132470205,-0.00699301053516177
2013-12-12,-0.06601329921977594,-0.003460211309408545
2013-12-13,-0.029571100225439295,0.006944440870531254
2013-12-16,-0.10512842074967921,-0.010380626323744258
2013-12-17,-0.10302893852349371,-0.003508774922375446
2013-12-18,-0.08150612789904699,-0.013840833758640203
2013-12-19,-0.02123580954503268,-0.023809526795491753
2013-12-20,-0.010814344394020736,-0.03460207879511901
