date,target_prediction,target
2014-05-21,0.002682598592733159,0.03543307086614167
2014-05-22,0.00909218688980574,0.02734375
2014-05-23,-0.01810152998864136,0.019685039370078705
2014-05-27,-0.028679549855828976,0.01984126984126977
2014-05-28,-0.025925125686180585,0.03688524590163933
2014-05-29,-0.009696929855001991,0.03673469387755102
2014-05-30,-0.0083776269402784,0.020161290322580516
2014-06-02,-0.01652781235118201,0.015748031496062964
2014-06-03,-0.010366217179782648,0.01538461538461533
2014-06-04,-0.024377042344912923,0.015325670498084198
2014-06-05,-0.03756716074087349,0.015444015444015413
2014-06-06,-0.03049891403977543,-0.007692307692307665
2014-06-09,-0.03163001542336183,-0.019083969465648942
2014-06-10,-0.06789933185463108,-0.03409090909090917
2014-06-11,-0.06554942211925244,-0.04528301886792452
2014-06-13,-0.019955317002185165,-0.015384615384615441
2014-06-17,-0.04975587335118726,-0.0714285714285714
2014-06-18,-0.02544370558707277,-0.04214559386973171
2014-06-19,-0.014107513935305072,-0.05681818181818177
2014-06-20,-0.013862443643863317,-0.057034220532319324
2014-06-23,-0.020177149339414533,-0.057034220532319324
2014-06-24,0.004332350529296137,-0.027027027027026973
2014-06-25,-0.01763895793219845,-0.035019455252918275
2014-06-26,0.003243034545044602,-0.011857707509881354
2014-06-27,0.0010708478238982688,-0.027559055118110187
2014-06-30,0.01611459221483179,0.015810276679841806
2014-07-01,0.03012385139368602,0.0
2014-07-02,0.009444603799500757,-0.045454545454545525
2014-07-03,-0.01195101808517028,-0.05283018867924538
2014-07-07,-0.01423011885072422,-0.053231939163498
2014-07-08,-0.003352848988223439,-0.03488372093023251
2014-07-09,-0.01565644837994204,-0.05447470817120614
2014-07-10,0.0010424015991575154,-0.04313725490196074
2014-07-11,-0.025271813668016042,-0.035573122529644174
2014-07-14,-0.01058652614763837,-0.03529411764705881
2014-07-15,-0.011061821844601548,-0.05078125
2014-07-16,-0.02527614232950183,-0.05882352941176472
2014-07-17,-0.017429849352690662,-0.052631578947368585
2014-07-18,-0.029112198633916314,-0.04399999999999993
2014-07-21,-0.028303192787281647,-0.03614457831325313
2014-07-22,-0.02185564917564417,-0.020161290322580627
2014-07-23,-0.03147185631907212,-0.028225806451612878
2014-07-24,-0.008995362155678893,-0.04761904761904767
2014-07-25,-0.024599408652566546,-0.03629032258064513
2014-07-28,-0.018518091260623263,-0.04399999999999993
2014-07-29,-0.034939305488030224,-0.04048582995951422
2014-07-30,0.009386075780857641,-0.08949416342412453
2014-07-31,-0.021312172608655644,-0.08914728682170536
2014-08-01,0.0045858001286456646,-0.039682539682539764
2014-08-04,-0.007524143216527874,-0.03984063745019906
2014-08-05,0.026177353537204566,-0.016064257028112428
2014-08-06,0.004365008526016817,-0.012048192771084487
2014-08-07,0.018604289892497232,0.020576131687242816
2014-08-08,0.02268567577376239,0.024590163934426146
2014-08-11,0.03795528511987866,0.040983606557376984
2014-08-12,0.04246316754333991,0.03252032520325199
2014-08-13,0.061498427763344236,0.07818930041152261
2014-08-14,0.06014123349056402,0.08333333333333348
2014-08-15,0.06997140854560091,0.11111111111111116
2014-08-18,0.04273734066640382,0.09623430962343105
2014-08-19,0.033842336457791625,0.09583333333333344
2014-08-20,0.03170239952984216,0.06584362139917688
2014-08-21,0.005911234430589423,0.0663900414937757
2014-08-22,-0.0013826973412833093,0.05833333333333335
2014-08-25,-0.0042262549794579735,0.07531380753138062
2014-08-26,-0.0065501675104545545,0.05439330543933041
2014-08-27,-0.014355284278824614,0.07172995780590719
2014-08-28,-0.010894099276837838,0.06837606837606836
2014-08-29,-0.0031238315116513884,0.07234042553191489
2014-09-02,-0.05316982897008792,0.0
2014-09-03,-0.02149983940115955,0.012448132780082943
2014-09-04,-0.03617898868570224,0.0
2014-09-05,-0.053105787457100144,-0.012195121951219412
2014-09-08,-0.10098215537670063,-0.048387096774193616
2014-09-09,-0.07612355067154133,-0.05999999999999994
2014-09-10,-0.09898649674866926,-0.07874015748031504
2014-09-11,-0.0989351971733755,-0.09055118110236215
2014-09-12,-0.12003226792402666,-0.1564885496183207
2014-09-15,-0.15981104511901503,-0.17307692307692313
2014-09-16,-0.11542212749113481,-0.16538461538461546
2014-09-17,-0.07786898458818256,-0.15267175572519076
2014-09-18,-0.07496278176803298,-0.16349809885931543
2014-09-19,-0.06395260762241316,-0.13899613899613894
2014-09-22,-0.05545644740513164,-0.12451361867704269
2014-09-23,-0.006599266593989614,-0.09842519685039375
2014-09-24,-0.019800815863793033,-0.1089494163424124
2014-09-25,-0.02213368751941231,-0.09920634920634919
2014-09-26,-0.00953344247371156,-0.09448818897637801
2014-09-29,-0.017176011960659713,-0.06400000000000006
2014-09-30,-0.0036628843268465446,-0.07936507936507942
2014-10-01,0.020766886696513907,-0.028925619834710647
2014-10-02,0.024880029368513454,-0.032786885245901676
2014-10-03,0.0038138822914236432,-0.04081632653061229
2014-10-06,-0.006380608103396636,-0.02880658436214001
2014-10-07,0.01703388243834457,0.01271186440677985
2014-10-08,-0.01657989736976095,-0.01276595744680864
2014-10-09,0.020085784045072025,0.017094017094017033
2014-10-10,0.047705397008352565,0.025974025974025983
2014-10-14,0.006964706459084907,0.06334841628959276
2014-10-15,0.032743440657929015,0.07906976744186034
2014-10-16,0.020920418242033317,0.07834101382488479
2014-10-17,0.0013296971374959256,0.04504504504504481
2014-10-20,-0.006606120013217474,0.07272727272727253
2014-10-21,0.013116352188451311,0.049327354260089606
2014-10-22,-0.011370669423014238,0.026666666666666616
2014-10-23,-0.018537437433242494,0.004366812227074135
